日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/03/01,"9,019,098","1,292,041,933",143.55,143.95,142.80,142.80,-0.50,"11,396"
113/03/04,"25,733,539","3,766,826,897",145.00,147.20,144.85,146.95,+4.15,"23,900"
113/03/05,"17,270,419","2,557,952,404",147.75,148.55,147.35,148.15,+1.20,"18,112"
113/03/06,"17,232,812","2,554,806,448",147.00,149.05,146.40,148.85,+0.70,"14,657"
113/03/07,"31,117,921","4,732,119,017",151.00,153.00,150.75,152.30,+3.45,"25,573"
113/03/08,"30,512,569","4,733,555,354",155.60,156.45,153.00,154.45,+2.15,"27,381"
113/03/11,"13,908,138","2,131,482,853",153.85,154.20,152.55,152.90,-1.55,"19,953"
113/03/12,"15,457,256","2,377,895,105",152.20,154.60,152.10,154.50,+1.60,"13,566"
113/03/13,"13,431,850","2,088,230,077",155.55,156.15,154.95,155.25,+0.75,"12,114"
113/03/14,"8,777,345","1,361,442,129",154.90,155.80,154.30,155.10,-0.15,"9,671"
113/03/15,"9,218,845","1,418,850,825",154.30,154.75,153.00,153.00,-2.10,"14,662"
113/03/18,"18,434,059","2,836,201,013",153.00,154.50,153.00,154.40,+1.40,"11,959"
113/03/19,"8,872,114","1,365,460,173",153.40,154.55,153.00,154.05,-0.35,"8,199"
113/03/20,"10,441,824","1,609,185,340",154.20,155.30,153.00,153.20,-0.85,"11,445"
113/03/21,"21,131,978","3,315,155,281",155.55,157.70,155.55,157.40,+4.20,"21,103"
113/03/22,"7,163,593","1,126,524,179",157.50,158.25,156.50,157.20,-0.20,"8,945"
113/03/25,"9,052,498","1,426,632,970",157.20,158.00,156.95,157.50,+0.30,"10,534"
113/03/26,"7,011,591","1,106,518,323",158.30,159.20,156.40,157.60,+0.10,"10,423"
113/03/27,"4,644,158","730,810,486",157.40,157.85,156.90,157.65,+0.05,"5,803"
113/03/28,"3,438,375","539,015,594",157.30,157.30,155.90,156.90,-0.75,"7,097"
113/03/29,"8,255,237","1,302,182,597",156.90,158.40,156.90,157.90,+1.00,"7,944"
